Sr. No,"1.	Age:","2.	Gender","3.	Percentage /CGPA in the last Degree ",A. Bachelor in which discipline(Department  name):,B. Masters in which discipline(Department  name):,C. Any extra course:,5.  Year of passing the last education,"6.	The number of interviews faced.","7.	Marital Status",A. If married then Spouse(husband/wife) Occupation,"8.	I think my curriculum was sufficient for my present career.","9.	My personality is a perfect match for my career. ","10.	I am satisfied with the skills I have achieved along with my career","11.	I am able to apply my conceptual/technical skills in my career journey. ","12.	I am satisfied with the progress I have made toward meeting my goals for income. ","13.	I am satisfied with the progress I have made toward meeting my goals for career advancement. ","14.	I am satisfied with the progress I have made toward meeting the challenging task at my work. ","15.	 I am contented with my career even if I don’t get job. ","16.	I can work in a domain different from my educational background. ","17.	I would like to change my current career if I find better opportunities elsewhere. ","18.	Based on my career I can never remain unemployed","19.	I’m satisfied with the status I have in society due to my career. ",20.  My family supports me during ups and downs in my career.,"21.	I am satisfied with the progress I have made toward meeting my overall career goals",23.  Number of dependents in the family,"22.	I think I can have better performance in my career if had exposure to","24.	I need to acquire a few more skills through additional courses for the betterment of my career","B.	I need to acquire a few more skills through additional courses for the betterment of my career","25.	I will continue with my present career.",if no then reason,if yes then reason,I’m currently ,1. Occupation,"2.	Designation","4.	Current working domain","3.	Company/organization/institute Sector","5.	Years of work Experience ",6. What type of work are you doing?,"7..	How many times have you switched your Job / Business?",8. I’m satisfied with the work I do.,9. My work allows me to use a variety of skills and abilities.,10. My location is appropriate for my career growth.,11. I’m satisfied with the income based on my work.,12. I’m happy with the amount of time spent at work.,13. I have growth and advancement opportunity based on my work.,14. I’m able to maintain a balance between work and personal life,15. I would like to change my current job if I find better opportunities elsewhere.,"16. 	I am working in a domain different from my educational background. ","1.  As of now, I am occupied in my personal engagements.",2. I’m currently busy in doing further study.,3. I am not really looking for a job.,4.  I have done job before and may look for one in near future,5.  I am not happy with available job opportunities and salary offered.,6.  There is very less opportunity based on my educational background.,7. I am waiting for the desired job.,8. For getting a job I am ready to change my present location.,9. My focus is on government exams at present.,1) 10th Result marks [Science ],1) 10th Result marks [Mathematics],1) 10th Result marks [Overall result in % ],Science stream and subjects liking related Questions [I am happy with my decision of choosing science.],Science stream and subjects liking related Questions [I like to study Physics],Science stream and subjects liking related Questions [I like to study Mathematics],Science stream and subjects liking related Questions [I like to study Chemistry],Science stream and subjects liking related Questions [I chose science stream as it has increased my opportunities of choosing the career of my interest.],"On a 1-10 scale, 10 being highest, rate your subjects liking [Physics]","On a 1-10 scale, 10 being highest, rate your subjects liking [Chemistry]","On a 1-10 scale, 10 being highest, rate your subjects liking [Mathematics]","On a 1-10 scale, 10 being highest, rate your subjects liking [Computer]","On a 1-10 scale, 10 being highest, rate your subjects liking [English]",Tick the below based on your interest ,Tick the below based on your interest ,Tick the below based on your interest ,Tick the below based on your interest ,Tick the below based on your interest ,Tick the below based on your interest 
294,above 28,Male,50-59,Statistics ,Statistics,No,2014,3,Married,Parlour ,Disagree,Disagree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Strongly disagree,Strongly disagree,Disagree,Agree,Agree,Neutral,Neutral,3,Technical/programming Skills,N,No,Yes,,Satisfied,Working,Job,Manager,Medical,Government,3,Office Work,0,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Strongly Agree,No,,,,,,,,,,50-59,60-69,50-59,Agree,Agree,Strongly Agree,Neutral,Agree,8,8,10,9,9,Making things work;Solving problems,Solving abstract problems;Analyzing information;Exploring theories,Decorating;Designing,"Working in groups;Supporting others;Building relationships;Communication;Listening to people;Collaborating;Encouraging;Teaching, instructing;Coaching, training",Speaking in public;Debating ideas;Taking risks;Negotiating,"Making charts, graphs;Writing reports;Using computer software;Conducting analyses;Creating efficiency"
295,26-28,Female,50-59,Statistics,Statistics,No,2016,1,Married,Clerk,Agree,Disagree,Agree,Strongly disagree,Agree,Disagree,Agree,Agree,Agree,Strongly Agree,Disagree,Agree,Strongly Agree,Agree,1,Soft skills;Technical/programming Skills;Interactive Session;Practical Applications,No,,Yes,,No reason,Working,Job,Medical biller,Medical,Private,1,Office Work,0,Agree,Agree,Agree,Disagree,Agree,Agree,Strongly Agree,Strongly Agree,Yes,,,,,,,,,,60-69,60-69,60-69,Strongly Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,1,3,3,3,2,Making things work;Action-oriented activities;Working with my hands;Solving problems,Solving abstract problems;Analyzing information;Learning new facts;Collecting data;Detailed activities,Decorating;Being expressive;Being brave and daring,Working in groups;Building relationships;Communication;Listening to people;Collaborating,Speaking in public;Being an entrepreneur,"Keeping records;Making charts, graphs;Performing calculations;Following the rules"
296,23-25,Male,60-69,Bsc physics,Msc in applied physics,No,2018,0,Unmarried,,Agree,Agree,Strongly Agree,Neutral,Strongly disagree,Strongly disagree,Disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Agree,more than 3,Interactive Session,Yes,No,No,No,,Non-Working,,,,,,,,,,,,,,,,,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,,,,,,,,,,,,,,,,,,,
297,26-28,Male,50-59,B.Sc from Science faculty MSU,M.Sc from Techo Faculty M.Sc,No Any Course ,2015,more than 3,Unmarried,,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Neutral,Agree,Strongly Agree,Strongly Agree,Strongly Agree,more than 3,Soft skills;Technical/programming Skills;Practical Applications,No,No,Yes,,No,Working,Job,R & D Officer ,Chemicals ,Private,5,Field Work,0,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,No,,,,,,,,,,50-59,40-49,50-59,Strongly Disagree,Neutral,Neutral,Strongly Disagree,Strongly Disagree,1,10,3,6,6,Making things work;Working with my hands;Solving problems;Using equipment,Solving abstract problems;Analyzing information;Learning new facts;Exploring theories;Detailed activities;Developing knowledge,Playing instruments;Being Emotional;Being expressive;Being brave and daring,"Working in groups;Supporting others;Communication;Listening to people;Collaborating;Teaching, instructing","Debating ideas;Persuading, influential;Taking risks;Being an entrepreneur","Keeping records;Making charts, graphs;Creating efficiency;Performing calculations;Following the rules"
298,26-28,Male,50-59,B.Sc from Science faculty MSU,M.Sc from Techo Faculty M.Sc,No Any Course ,2015,more than 3,Unmarried,,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Neutral,Agree,Strongly Agree,Strongly Agree,Strongly Agree,more than 3,Soft skills;Technical/programming Skills;Practical Applications,No,No,Yes,,No,Working,Job,R & D Officer ,Chemicals ,Private,5,Field Work,0,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,No,,,,,,,,,,50-59,40-49,50-59,Strongly Disagree,Neutral,Neutral,Strongly Disagree,Strongly Disagree,1,10,3,6,6,Making things work;Working with my hands;Solving problems;Using equipment,Solving abstract problems;Analyzing information;Learning new facts;Exploring theories;Detailed activities;Developing knowledge,Playing instruments;Being Emotional;Being expressive;Being brave and daring,"Working in groups;Supporting others;Communication;Listening to people;Collaborating;Teaching, instructing","Debating ideas;Persuading, influential;Taking risks;Being an entrepreneur","Keeping records;Making charts, graphs;Creating efficiency;Performing calculations;Following the rules"
299,above 28,Male,40-49,Metallurgical,-,No,2016,0,Unmarried,,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Disagree,Neutral,Strongly Agree,Disagree,more than 3,Soft skills;Technical/programming Skills;Practical Applications,No,No,No,No.. because i want well settle job,,Non-Working,,,,,,,,,,,,,,,,,Disagree,Disagree,Disagree,Neutral,Strongly Agree,Agree,Agree,Disagree,Strongly Agree,,,,,,,,,,,,,,,,,,,
300,23-25,Female,70-79,Environmental Science,Environmental science,No,2017,more than 3,Unmarried,,Disagree,Agree,Disagree,Neutral,Disagree,Strongly Agree,Agree,Strongly disagree,Disagree,Neutral,Neutral,Neutral,Disagree,Disagree,None,Soft skills;Technical/programming Skills;Interactive Session,GIS,,Yes,,"It is something I wanted to do in the field of environment, for environment and people. Although it doesn't pay me or get me good job, I would like to continue in this field as shifting field would not make me happy and content",Working,Job,JRF,Academics,Government,2,Field Work,2,Agree,Agree,Neutral,Disagree,Agree,Disagree,Disagree,Neutral,No,,,,,,,,,,80-89,70-79,80-89,Agree,Neutral,Disagree,Neutral,Disagree,6,6,4,6,9,Producing tangible results;Action-oriented activities;Solving problems;Using equipment,Solving abstract problems;Analyzing information;Conducting research;Learning new facts;Exploring theories;Collecting data;Developing knowledge,Decorating;Reading;Being Emotional,Working in groups;Supporting others;Listening to people;Collaborating;Encouraging,"Debating ideas;Persuading, influential;Asserting ideas","Making charts, graphs;Writing reports;Attention to detail;Using computer software;Conducting analyses;Creating efficiency;Performing calculations;Following the rules"
301,23-25,Female,60-69,Statistics,,Diploma in fashion designing,2018,0,Unmarried,,Agree,Agree,Disagree,Agree,Disagree,Disagree,Disagree,Strongly disagree,Agree,Agree,Agree,Agree,Agree,Strongly disagree,3,Technical/programming Skills,NO,No,Yes,,YESS..,Working,self-employed,Fashion Designer,CLOTHING,Business,1,Field Work,0,Neutral,Strongly Disagree,Neutral,Neutral,Agree,Disagree,Strongly Disagree,Agree,Yes,,,,,,,,,,60-69,50-59,60-69,Neutral,Disagree,Disagree,Disagree,Neutral,3,2,3,2,1,Making things work;Working with my hands;Solving problems;Using equipment,Analyzing information;Learning new facts;Exploring theories;Collecting data;Developing knowledge;Designing systems,Designing,Building relationships;Communication;Listening to people;Collaborating,Being an entrepreneur,Keeping records;Attention to detail;Using computer software
302,26-28,Male,60-69,Mechanical engineering,Production engineering,No,2016,more than 3,Unmarried,,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly disagree,Strongly Agree,Strongly disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,None,None,No,No,Yes,,I like to do work of my present job,Working,Job,Industries inspector,Manufacturing industries,Government,2,Field Work,more than 3,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,No,,,,,,,,,,60-69,50-59,70-79,Strongly Agree,Strongly Agree,Strongly Disagree,Neutral,Strongly Agree,5,4,2,2,2,"Producing tangible results;Fixing things;Making things work;Action-oriented activities;Working with my hands;Solving problems;Repairing, refinishing;Using equipment",Solving abstract problems;Analyzing information;Conducting research;Learning new facts;Exploring theories;Developing knowledge,Being brave and daring,Supporting others;Collaborating;Encouraging,Taking risks,Keeping records
303,26-28,Male,40-49,Statistics,Statistics,No,2015,more than 3,Unmarried,,Agree,Strongly Agree,Neutral,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,Agree,Strongly Agree,Agree,None,Technical/programming Skills,"Sas, python, tablue",No,Yes,,"Yes, beacause there are many opportunities worlwide.",Working,Job,Data Administrator (Tram Lead),Media search,Private,3,Office Work,1,Agree,Agree,Neutral,Agree,Agree,Agree,Neutral,Strongly Agree,Yes,,,,,,,,,,50-59,50-59,50-59,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Neutral,3,1,3,3,4,"Producing tangible results;Fixing things;Constructing, building;Making things work;Action-oriented activities;Working with my hands;Solving problems",Solving abstract problems;Analyzing information;Conducting research;Learning new facts;Exploring theories;Collecting data;Detailed activities;Developing knowledge,Playing instruments;Reading;Being Emotional;Being brave and daring,"Working in groups;Supporting others;Building relationships;Communication;Listening to people;Collaborating;Encouraging;Teaching, instructing;Coaching, training","Speaking in public;Debating ideas;Persuading, influential;Competing;Asserting ideas;Taking risks","Keeping records;Making charts, graphs;Writing reports;Attention to detail;Conducting analyses;Performing calculations"
304,23-25,Male,60-69,12th pass only,,Interior design,2018,0,Unmarried,,Agree,Agree,Neutral,Agree,Neutral,Agree,Agree,Strongly Agree,Neutral,Agree,Strongly Agree,Neutral,Strongly Agree,Neutral,more than 3,Soft skills;Technical/programming Skills,3D visualisation,,Yes,,I always wished to be a 3D visualizer ,Non-Working,,,,,,,,,,,,,,,,,Neutral,Neutral,Strongly Disagree,Neutral,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Disagree,,,,,,,,,,,,,,,,,,,
305,23-25,Male,60-69,Electrical Department ( Electronics Branch ),Electrical Branch ( Microprocessor System and Application),Basics of PLC,2018,more than 3,Unmarried,,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Neutral,Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,2,Soft skills;Interactive Session;Practical Applications,Programming Skills,,Yes,,I am very satisfied with my present career,Working,Job,RTL/FPGA Design Engineer,IT,Private,1,Office Work,0,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,No,,,,,,,,,,80-89,90-100,70-79,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,5,5,5,5,4,"Fixing things;Making things work;Action-oriented activities;Repairing, refinishing",Solving abstract problems;Analyzing information;Learning new facts;Exploring theories;Detailed activities;Developing knowledge;Designing systems,Designing,"Working in groups;Supporting others;Building relationships;Communication;Listening to people;Encouraging;Coaching, training",Taking risks;Negotiating,Keeping records;Attention to detail;Using computer software;Performing calculations;Following the rules
306,23-25,Female,70-79,Electrical,,No,2016,more than 3,Widowed,,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,Neutral,Agree,Agree,Agree,Agree,None,Technical/programming Skills;Interactive Session;Practical Applications,"Statistics, Machine Learning",,Yes,,Future seems to be bright,Working,Job,Business Analyst,Ecommerce - Analytics,Private,3,Office Work,1,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Yes,,,,,,,,,,90-100,90-100,90-100,Strongly Agree,Strongly Agree,Agree,Strongly Disagree,Agree,9,7,9,9,9,"Producing tangible results;Fixing things;Constructing, building;Making things work;Action-oriented activities;Working with my hands;Solving problems",Solving abstract problems;Analyzing information;Conducting research;Learning new facts;Exploring theories;Developing knowledge,Being Emotional;Being expressive;Being brave and daring,"Working in groups;Supporting others;Building relationships;Communication;Listening to people;Collaborating;Encouraging;Teaching, instructing;Coaching, training","Speaking in public;Debating ideas;Persuading, influential;Asserting ideas","Making charts, graphs;Attention to detail;Conducting analyses;Following the rules"
307,23-25,Male,50-59,Chemistry,,No,2018,0,Unmarried,,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Strongly disagree,Agree,Disagree,Agree,Agree,Strongly Agree,Agree,3,Soft skills,No,No,Yes,,For my satisfaction,Non-Working,,,,,,,,,,,,,,,,,Neutral,Strongly Agree,Strongly Disagree,Agree,Neutral,Strongly Disagree,Agree,Agree,Strongly Agree,,,,,,,,,,,,,,,,,,,
308,26-28,Male,50-59,Chemical,No,No,2017,2,Married,Housewife,Disagree,Strongly Agree,Neutral,Agree,Agree,Agree,Agree,Neutral,Agree,Disagree,Neutral,Agree,Agree,Agree,3,Practical Applications,Safety & environment related course,,Yes,,Yes,Working,Job,Process engineer in Chemical plant,Chemical,Private,2,Field Work,2,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Agree,Agree,Neutral,Neutral,Yes,,,,,,,,,,80-89,80-89,70-79,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,9,9,10,5,3,"Making things work;Action-oriented activities;Working with my hands;Solving problems;Repairing, refinishing;Using equipment",Learning new facts;Collecting data;Developing knowledge,Reading;Being Emotional;Being expressive;Being brave and daring,"Working in groups;Supporting others;Building relationships;Communication;Listening to people;Collaborating;Encouraging;Teaching, instructing;Coaching, training",Taking risks;Being an entrepreneur;Negotiating,"Making charts, graphs;Writing reports;Following the rules"
309,23-25,Male,50-59,Chemical,Chemical ,Petrochemical ,2017,0,Unmarried,,Agree,Agree,Agree,Neutral,Disagree,Disagree,Neutral,Neutral,Agree,Agree,Neutral,Agree,Strongly Agree,Neutral,None,Technical/programming Skills;Practical Applications,No,No,Yes,,I am satisfied with it,Non-Working,,,,,,,,,,,,,,,,,Neutral,Strongly Agree,Disagree,Neutral,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,,,,,,,,,,,,,,,,,,,
310,26-28,Male,60-69,Chemical Engineering,Chemical Engineering,No,2017,0,Married,Assistant manager,Agree,Agree,Agree,Agree,Disagree,Disagree,Agree,Agree,Strongly Agree,Neutral,Agree,Agree,Strongly Agree,Disagree,1,Technical/programming Skills;Practical Applications,Process Design softwares,,Yes,,I like the challenges it presents and the ability to solve the problems with the knowledge you have acquired gives you that satisfaction,Working,Job,Executive,Chemical,Private,2,Field Work,0,Neutral,Disagree,Strongly Agree,Disagree,Agree,Agree,Agree,Strongly Agree,No,,,,,,,,,,80-89,80-89,80-89,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,9,7,7,8,9,Producing tangible results;Fixing things;Making things work;Action-oriented activities;Solving problems;Using equipment,Analyzing information;Learning new facts;Exploring theories;Collecting data;Designing systems,Reading;Being brave and daring,Building relationships;Communication,Competing;Asserting ideas;Taking risks;Being an entrepreneur,Attention to detail;Using computer software;Creating efficiency;Performing calculations
311,Below 23,Male,60-69,Chemistry,Applied Chemistry,Nope,2017,1,Unmarried,,Disagree,Strongly Agree,Disagree,Agree,Strongly disagree,Disagree,Disagree,Neutral,Strongly disagree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,more than 3,Soft skills;Technical/programming Skills;Interactive Session;Practical Applications;Confidence development,Nope,No,Yes,,Now i am good in this and also satisfied.,Non-Working,,,,,,,,,,,,,,,,,Neutral,Agree,Disagree,Strongly Disagree,Strongly Agree,Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,,,,,,,,,,,,,,,,,,,
312,26-28,Male,50-59,B.sc (Statistics),M.sc. (Statistics),No,2018,more than 3,Unmarried,,Disagree,Disagree,Agree,Neutral,Neutral,Disagree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,more than 3,Soft skills;Technical/programming Skills;Interactive Session;Practical Applications,"Sas, sap,web developer etc.",No,Yes,,I love my job write now,Working,Job,Senior analyst,IT ,Private,5,Office Work,2,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Neutral,Yes,,,,,,,,,,60-69,60-69,60-69,Disagree,Disagree,Neutral,Disagree,Agree,8,6,10,10,10,"Producing tangible results;Constructing, building;Making things work;Working with my hands;Solving problems;Repairing, refinishing",Solving abstract problems;Analyzing information;Learning new facts;Collecting data;Developing knowledge;Designing systems,"Composing music;Playing instruments;Designing;Writing poetry, stories;Reading;Being Emotional;Being expressive",Supporting others;Building relationships;Communication;Listening to people;Collaborating;Encouraging,"Speaking in public;Persuading, influential;Competing;Asserting ideas;Taking risks;Negotiating","Keeping records;Making charts, graphs;Writing reports;Attention to detail;Using computer software;Conducting analyses;Creating efficiency;Following the rules"
313,Below 23,Male,50-59,Chemical engineering department,No,No,2018,2,Unmarried,,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Strongly disagree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,more than 3,Soft skills,Conversation skill,No,Yes,,It is best circumstances for my future goal,Working,Job,Chemical Graduate engineer trainee(process engineer),Chemical,Private,1,Office Work,0,Strongly Agree,Strongly Agree,Neutral,Agree,Agree,Strongly Agree,Agree,Neutral,No,,,,,,,,,,80-89,70-79,80-89,Strongly Agree,Strongly Agree,Neutral,Agree,Strongly Agree,10,10,9,10,10,Making things work,Designing systems,Designing;Reading,Working in groups;Listening to people;Encouraging,Asserting ideas,"Keeping records;Making charts, graphs;Writing reports;Using computer software;Following the rules"
